"covariate","n","n_obs","n_predicted","coverage","rmse","mae","bias","r2_cv","skill_null","n_candidates_screened","rank"
"elevation",8,8,8,1,1.46210676353256,1.22806278204463,-0.0296235607162358,0.457028950889334,0.263134307278005,19,1
"s1_vv",8,8,8,1,2.08121348615461,1.72408056904038,-0.101000063005544,-0.100149649019345,-0.0488801881146128,19,2
"gwl_class",8,8,8,1,2.22120977974614,1.738245715733,-1.11022302462516e-16,-0.253134410213761,-0.119434861978919,19,3
"gwl_wetland",8,8,8,1,2.22120977974614,1.738245715733,2.91433543964104e-16,-0.253134410213761,-0.119434861978919,19,4
"water_occurrence",8,8,8,1,2.27289023628198,1.87750965194113,-0.355299194725714,-0.312125657192973,-0.145480535492844,19,5
"s2_green",8,8,8,1,2.40028684487927,2.11117802945771,-0.18771579235125,-0.463338475076165,-0.209685279350032,19,6
"dist_coast_m",8,8,8,1,2.52862367810177,2.25583643522895,-0.0500126158530087,-0.624003281300631,-0.274363873193457,19,7
"ndwi",8,8,8,1,2.59431662307468,2.0333600232444,-0.147517363707888,-0.709481709587584,-0.307471494751448,19,8
"s2_swir1",8,8,8,1,2.67755620323282,2.43676047066801,-0.344305203935952,-0.820940238811478,-0.34942218701616,19,9
"s1_vh",8,8,8,1,2.71439522117896,2.37317586383424,-0.504796872352533,-0.871391556886085,-0.367988142085334,19,10
"slope_deg",8,8,8,1,2.79007619019946,2.44853221459201,0.205391120592753,-0.977200117463975,-0.406129481045034,19,11
"s1_vv_vh_diff",8,8,8,1,2.85862918560563,2.45699647611937,-0.121935142451402,-1.07555453279612,-0.440678497374109,19,12
"ndvi",8,8,8,1,3.1516515896005,2.73807202201668,-0.626653463479335,-1.52287017943154,-0.588354550921027,19,13
"ndmi",8,8,8,1,3.19191270056165,2.66599312539708,-0.515608026912783,-1.5877392390137,-0.608645156339241,19,14
"tc_wetness",8,8,8,1,3.2570781656306,2.761225825151,-0.6464986599508,-1.69447937765454,-0.641486941055133,19,15
"s2_swir2",8,8,8,1,3.44552139894448,2.87232138703105,-0.838780104556314,-2.01528525995513,-0.736457675831786,19,16
"s2_nir",8,8,8,1,3.55702325143199,2.64664099193496,-0.71362430148651,-2.21360067406864,-0.792651855232533,19,17
"s2_red",8,8,8,1,4.82510465174086,3.46672193492427,-1.43242759002474,-4.9133280951084,-1.43173355758981,19,18
"s2_blue",8,8,8,1,5.32567537639985,3.64287816879255,-1.66111576753835,-6.20390344254431,-1.68400883801531,19,19
